datetime,T_outdoor_C,T_inlet_C,Q_W,Q_kWh,opt_T_inlet,opt_mdot,opt_Q_kW,opt_vol_PMV,opt_vol_pct_comf,opt_dT_vert,opt_feasible
2019-03-04 13:00:00,14.421339655172414,20.44403023275862,909.2124717000128,0.9092124717000128,16.0,0.15000000596046448,0.23832163,-0.26600000262260437,53.29999923706055,2.17333984375,True
2019-03-04 14:00:00,13.769035,21.451840925,1159.8309550646622,1.1598309550646622,16.0,0.15000000596046448,0.3367965,-0.26600000262260437,53.29999923706055,2.17333984375,True
2019-03-04 15:00:00,11.813214999999998,24.473582825000005,1911.266098517213,1.9112660985172132,16.0,0.15000000596046448,0.6320559,-0.23741500079631805,55.04999923706055,2.25860595703125,True
2019-03-04 16:00:00,10.84476833333333,25.96983292500001,2283.347813548664,2.283347813548664,16.0,0.15000000596046448,0.77825695,-0.22263500094413757,55.45000076293945,2.32550048828125,True
2019-03-04 17:00:00,10.26767833333333,26.861436975000004,2505.0684764598886,2.5050684764598885,16.0,0.15000000596046448,0.8653771,-0.20780499279499054,56.70000076293945,2.389404296875,True
2019-03-04 18:00:00,10.88228833333333,25.91186452500001,2268.932454986864,2.268932454986864,16.0,0.15000000596046448,0.7725929,-0.22263500094413757,55.45000076293945,2.32550048828125,True
2019-03-05 08:00:00,20.381355,16.3350851,610.8431123185497,0.6108431123185497,20.0,0.15000000596046448,0.057571113,0.47957998514175415,56.70000076293945,1.719329833984375,True
2019-03-05 09:00:00,17.990861666666664,17.243472566666668,112.82922178694938,0.1128292217869493,18.0,0.15000000596046448,0.0013795298,0.06085500121116638,64.5999984741211,1.811492919921875,True
2019-03-05 10:00:00,18.081331666666664,17.209093966666668,131.67692826164938,0.1316769282616493,18.0,0.15000000596046448,0.012278132,0.06085500121116638,64.5999984741211,1.811492919921875,True
2019-03-05 11:00:00,15.259558333333333,19.148982375000003,587.1649557381879,0.5871649557381879,16.0,0.15000000596046448,0.11178036,-0.25691500306129456,53.54999923706055,2.152008056640625,True
2019-03-05 12:00:00,14.44565333333333,20.406465600000004,899.871043431201,0.899871043431201,16.0,0.15000000596046448,0.23465122,-0.26600000262260437,53.29999923706055,2.17333984375,True
2019-03-05 13:00:00,14.216731666666668,20.760149575,987.8238128225872,0.9878238128225872,16.0,0.15000000596046448,0.26921016,-0.26600000262260437,53.29999923706055,2.17333984375,True
2019-03-05 14:00:00,13.630158333333329,21.666405375000007,1213.1880165216892,1.2131880165216893,16.0,0.15000000596046448,0.35776195,-0.26600000262260437,53.29999923706055,2.17333984375,True
2019-03-05 15:00:00,12.299766666666663,23.721860500000005,1724.3306845022512,1.7243306845022512,16.0,0.15000000596046448,0.55860394,-0.23741500079631805,55.04999923706055,2.25860595703125,True
2019-03-05 16:00:00,11.57745,24.83783975,2001.8481084138748,2.0018481084138746,16.0,0.15000000596046448,0.66764814,-0.23741500079631805,55.04999923706055,2.25860595703125,True
2019-03-05 17:00:00,12.77698333333333,22.984560750000007,1540.9818209183763,1.5409818209183763,16.0,0.15000000596046448,0.48656112,-0.251800000667572,54.150001525878906,2.201812744140625,True
2019-03-05 18:00:00,12.220521666666668,23.844294025,1754.7769821896115,1.7547769821896115,16.0,0.15000000596046448,0.5705671,-0.23741500079631805,55.04999923706055,2.25860595703125,True
2019-03-06 08:00:00,17.625693333333334,17.382236533333334,36.75333408360009,0.0367533340836,18.0,0.15000000596046448,0.05650688,0.06085500121116638,64.5999984741211,1.811492919921875,True
2019-03-06 09:00:00,18.92482,16.8885684,307.40170466819995,0.3074017046681999,19.0,0.15000000596046448,0.01134952,0.25431498885154724,66.55000305175781,1.672943115234375,True
2019-03-06 10:00:00,18.38072,17.0953264,194.04880212719985,0.1940488021271998,18.0,0.15000000596046448,0.057475228,0.06085500121116638,64.5999984741211,1.811492919921875,True
2019-03-06 11:00:00,20.66382833333333,16.227745233333334,669.6910671499496,0.6696910671499496,21.0,0.25,0.08458342,0.47125500440597534,55.900001525878906,1.19384765625,True
2019-03-06 12:00:00,19.790781666666664,16.559502966666667,487.8083733061495,0.4878083733061495,20.0,0.15000000596046448,0.03158464,0.47957998514175415,56.70000076293945,1.719329833984375,True
2019-03-06 13:00:00,18.75428833333333,16.953370433333333,271.8746703145497,0.2718746703145497,19.0,0.15000000596046448,0.037093833,0.25431498885154724,66.55000305175781,1.672943115234375,True
2019-03-06 14:00:00,15.442496666666663,18.866342650000007,516.8791969509265,0.5168791969509264,16.0,0.15000000596046448,0.08416327,-0.25691500306129456,53.54999923706055,2.152008056640625,True
2019-03-06 15:00:00,13.472221666666666,21.910417525,1273.8680186553624,1.2738680186553624,16.0,0.15000000596046448,0.38160485,-0.251800000667572,54.150001525878906,2.201812744140625,True
2019-03-06 16:00:00,11.904504999999997,24.332539775000008,1876.192055790489,1.8761920557904888,16.0,0.15000000596046448,0.6182744,-0.23741500079631805,55.04999923706055,2.25860595703125,True
2019-03-06 17:00:00,10.869756666666664,25.931225950000005,2273.747179623776,2.273747179623776,16.0,0.15000000596046448,0.7744847,-0.22263500094413757,55.45000076293945,2.32550048828125,True
2019-03-06 18:00:00,10.13238,27.0704729,2557.05072560205,2.5570507256020503,16.0,0.15000000596046448,0.88580245,-0.20780499279499054,56.70000076293945,2.389404296875,True
2019-03-07 08:00:00,14.544225,20.254172375,861.9993504931872,0.8619993504931872,16.0,0.15000000596046448,0.2197704,-0.25691500306129456,53.54999923706055,2.152008056640625,True
2019-03-07 09:00:00,16.278491666666664,17.89417316666667,243.91054980675065,0.2439105498067506,16.0,0.15000000596046448,0.042042404,-0.27039000391960144,52.5,2.1263427734375,True
2019-03-07 10:00:00,17.450983333333333,17.448626333333333,0.3558233264999912,0.0003558233264999,17.0,0.15000000596046448,0.06808244,-0.11414500325918198,60.0,1.950836181640625,True
2019-03-07 11:00:00,16.024006666666665,17.990877466666667,296.9276668866003,0.2969276668866003,16.0,0.15000000596046448,0.0036240374,-0.27039000391960144,52.5,2.1263427734375,True
2019-03-07 12:00:00,17.51266,17.4251892,13.204985586600294,0.0132049855866002,18.0,0.15000000596046448,0.07357118,0.06085500121116638,64.5999984741211,1.811492919921875,True
