datetime,T_outdoor_C,T_inlet_C,Q_W,Q_kWh
2019-03-04 13:00:00,14.421339655172414,20.44403023275862,909.2124717000129,0.9092124717000128
2019-03-04 14:00:00,13.769035,21.451840925,1159.8309550646622,1.1598309550646622
2019-03-04 15:00:00,11.813214999999998,24.473582825000005,1911.2660985172133,1.9112660985172134
2019-03-04 16:00:00,10.84476833333333,25.969832925000006,2283.347813548664,2.283347813548664
2019-03-04 17:00:00,10.26767833333333,26.861436975000004,2505.0684764598886,2.5050684764598885
2019-03-04 18:00:00,10.88228833333333,25.911864525000006,2268.932454986864,2.2689324549868637
2019-03-05 08:00:00,20.381355,16.3350851,610.8431123185497,0.6108431123185497
2019-03-05 09:00:00,17.990861666666664,17.243472566666668,112.82922178694938,0.11282922178694937
2019-03-05 10:00:00,18.081331666666664,17.209093966666668,131.67692826164938,0.13167692826164937
2019-03-05 11:00:00,15.259558333333333,19.148982375000003,587.1649557381879,0.5871649557381879
2019-03-05 12:00:00,14.44565333333333,20.406465600000004,899.871043431201,0.899871043431201
2019-03-05 13:00:00,14.216731666666668,20.760149575,987.8238128225872,0.9878238128225872
2019-03-05 14:00:00,13.630158333333329,21.666405375000007,1213.1880165216892,1.2131880165216893
2019-03-05 15:00:00,12.299766666666663,23.721860500000005,1724.3306845022512,1.7243306845022512
2019-03-05 16:00:00,11.57745,24.83783975,2001.8481084138748,2.0018481084138746
2019-03-05 17:00:00,12.77698333333333,22.984560750000007,1540.9818209183763,1.5409818209183763
2019-03-05 18:00:00,12.220521666666668,23.844294024999996,1754.7769821896115,1.7547769821896115
2019-03-06 08:00:00,17.625693333333334,17.382236533333334,36.75333408360009,0.03675333408360009
2019-03-06 09:00:00,18.92482,16.8885684,307.40170466819995,0.30740170466819994
2019-03-06 10:00:00,18.38072,17.0953264,194.04880212719985,0.19404880212719985
2019-03-06 11:00:00,20.66382833333333,16.227745233333334,669.6910671499496,0.6696910671499496
2019-03-06 12:00:00,19.790781666666664,16.559502966666667,487.8083733061495,0.4878083733061495
2019-03-06 13:00:00,18.75428833333333,16.953370433333333,271.8746703145497,0.2718746703145497
2019-03-06 14:00:00,15.442496666666663,18.866342650000007,516.8791969509265,0.5168791969509264
